namespace(train_mode='BP', dataset='CIFAR10', epochs=5, batch_size=64, test_batch_size=1000, bp_lr=1, lr=0.0005, b_lr=0.0001, gamma=0.8, no_cuda=False, dry_run=False, seed=42, log_interval=10, save_model=True, device=device(type='cuda'))
Epoch,Training Loss,Test Loss,Test Accuracy
1,1.4643874168395996,1.531383228302002,46.28
2,1.0421702861785889,1.005470985174179,64.69
3,0.8924201726913452,1.053349506855011,63.51
4,0.8055040240287781,1.0140015363693238,65.23
5,0.7398676872253418,0.9178704679012298,68.26
